strategy_name,total_pnl,win_rate
07_Cut_WR_LT_52,4196.18,58.78772131695186
05_Cut_Bottom_25_Pct,4192.700000000001,57.98434116275196
06_Cut_WR_LT_50,4172.780000000001,57.72790300216052
04_Cut_Bottom_20_Pct,4133.880000000001,57.437862081853865
03_Cut_Bottom_15_Pct,4012.26,56.859537926804336
08_Cut_WR_LT_54,3976.62,60.282926373780285
02_Cut_Bottom_10_Pct,3852.9200000000005,56.32848370857997
01_Cut_Bottom_5_Pct,3564.2,55.654217811439025
00_Baseline,3125.3799999999997,54.879471711228625
10_Keep_Top_30_Pct,2921.5200000000004,63.67580701145435
09_Keep_Top_20_Pct,2142.5600000000004,65.53174172544763
