strategy_name,efficiency_score,total_pnl
01_Cut_Bottom_5_Pct,0.15674308218269783,3564.2
02_Cut_Bottom_10_Pct,0.14142876730145235,3852.9200000000005
03_Cut_Bottom_15_Pct,0.13196400931436997,4012.26
09_Keep_Top_20_Pct,0.13038502793848364,2142.5600000000004
04_Cut_Bottom_20_Pct,0.1260605780050829,4133.880000000001
06_Cut_WR_LT_50,0.12377309690402107,4172.780000000001
10_Keep_Top_30_Pct,0.12321354182577897,2921.5200000000004
05_Cut_Bottom_25_Pct,0.12182665729282238,4192.700000000001
07_Cut_WR_LT_52,0.11801214570325158,4196.18
08_Cut_WR_LT_54,0.11539420913065604,3976.62
00_Baseline,0.0,3125.3799999999997
