strategy_name,trades_per_day,total_pnl
00_Baseline,36.06177260519248,3125.3799999999997
01_Cut_Bottom_5_Pct,34.27931960608773,3564.2
02_Cut_Bottom_10_Pct,32.36705461056401,3852.9200000000005
03_Cut_Bottom_15_Pct,30.65085049239033,4012.26
04_Cut_Bottom_20_Pct,28.74306177260519,4133.880000000001
06_Cut_WR_LT_50,27.762757385854968,4172.780000000001
05_Cut_Bottom_25_Pct,26.87108325872874,4192.700000000001
07_Cut_WR_LT_52,24.119068934646375,4196.18
08_Cut_WR_LT_54,19.17547000895255,3976.62
10_Keep_Top_30_Pct,10.316920322291853,2921.5200000000004
09_Keep_Top_20_Pct,6.599820948970456,2142.5600000000004
