strategy_name,profit_factor,total_pnl
09_Keep_Top_20_Pct,1.8266623453789235,2142.5600000000004
10_Keep_Top_30_Pct,1.6842415896124345,2921.5200000000004
08_Cut_WR_LT_54,1.4582869470816429,3976.62
07_Cut_WR_LT_52,1.3705216572804038,4196.18
05_Cut_Bottom_25_Pct,1.3259448256346396,4192.700000000001
06_Cut_WR_LT_50,1.3120726816930153,4172.780000000001
04_Cut_Bottom_20_Pct,1.2965842319364638,4133.880000000001
03_Cut_Bottom_15_Pct,1.2663228324505162,4012.26
02_Cut_Bottom_10_Pct,1.239240771994402,3852.9200000000005
01_Cut_Bottom_5_Pct,1.2057899720547822,3564.2
00_Baseline,1.168588612886696,3125.3799999999997
