strategy_name,composite_score,win_rate,total_pnl
06_Cut_WR_LT_50,0.9041087904415841,57.72790300216052,4172.780000000001
04_Cut_Bottom_20_Pct,0.9040670780132904,57.437862081853865,4133.880000000001
05_Cut_Bottom_25_Pct,0.9026276768400532,57.98434116275196,4192.700000000001
03_Cut_Bottom_15_Pct,0.899524307298414,56.859537926804336,4012.26
07_Cut_WR_LT_52,0.8926003901017606,58.78772131695186,4196.18
02_Cut_Bottom_10_Pct,0.8906118811595677,56.32848370857997,3852.9200000000005
01_Cut_Bottom_5_Pct,0.8695795427587256,55.654217811439025,3564.2
08_Cut_WR_LT_54,0.8533800856442088,60.282926373780285,3976.62
00_Baseline,0.8329056878216221,54.879471711228625,3125.3799999999997
10_Keep_Top_30_Pct,0.7243828769246523,63.67580701145435,2921.5200000000004
09_Keep_Top_20_Pct,0.6408419585261037,65.53174172544763,2142.5600000000004
