strategy_name,chi_square_test_pvalue,t_test_pvalue,mann_whitney_u_pvalue,is_statistically_significant_95,is_statistically_significant_99,effect_size_cohens_d,confidence_interval_95_lower,confidence_interval_95_upper
00_Baseline,1.0,1.0,1.0,False,False,0.0,0.06787029072939549,0.08730857771974926
01_Cut_Bottom_5_Pct,0.02956431623208312,0.029025088480679372,0.02903271815556439,True,False,0.015581755855384061,0.08313216790968472,0.10303654454787597
02_Cut_Bottom_10_Pct,5.8709001651140755e-05,5.671191776895394e-05,5.6925948419090436e-05,True,True,0.029164506086617893,0.09634449195428296,0.1167948563889156
03_Cut_Bottom_15_Pct,6.079342901632475e-08,5.751603899294251e-08,5.8340076682544816e-08,True,True,0.03987734222692024,0.10669817888119157,0.12768333819098182
04_Cut_Bottom_20_Pct,5.912036087749561e-12,5.377974526035863e-12,5.6090596471902594e-12,True,True,0.051558932522852964,0.11794031667655304,0.1395741665976014
05_Cut_Bottom_25_Pct,2.4125228316442037e-16,2.0580349389873565e-16,2.2641759096829193e-16,True,True,0.06261119279939148,0.12851876050037658,0.15085488600970176
06_Cut_WR_LT_50,3.1893535988795194e-14,2.815672388505675e-14,3.008542210459615e-14,True,True,0.05742326609548409,0.12356172487517365,0.14555439521124736
07_Cut_WR_LT_52,1.4184364211647454e-23,1.020089755001043e-23,1.3100675141220034e-23,True,True,0.07888159685001588,0.14399906891690012,0.1675097837611742
08_Cut_WR_LT_54,5.18677417961348e-38,1.8347648327694064e-38,4.64957303120372e-38,True,True,0.10921644037016572,0.17255246433660018,0.19876459061461135
09_Keep_Top_20_Pct,1.917450857850397e-64,4.475419554148932e-68,1.547482394065911e-64,True,True,0.21553596289925903,0.26893637367896345,0.3123332953389422
10_Keep_Top_30_Pct,2.423821195061234e-63,1.195185821484998e-65,2.0304108397817375e-63,True,True,0.17808081308989585,0.23595431469789788,0.2710779657602764
