hour,trades,wins,losses,win_rate,total_pnl,avg_pnl,sharpe,best_trade,worst_trade,profit_factor,z_score,p_value,ci_95_lower,ci_95_upper,is_significant
23,1483,876,607,59.06945380984491,239.33999999999997,0.16138907619689816,3.1342876464042146,0.98,-1.02,1.3865684659366224,3.242579957777853,0.00118452705250216,56.546550050780674,61.545491495541405,YES (p<0.05)
0,1412,825,587,58.42776203966006,209.75999999999996,0.1485552407932011,2.878321120978279,0.98,-1.02,1.3503357049804598,2.6794425321665893,0.007374486058110641,55.83759103527489,60.97219898643375,YES (p<0.05)
1,1559,894,665,57.3444515715202,197.81999999999996,0.1268890314304041,2.4500092334748267,0.98,-1.02,1.291640866873066,1.9558898093536108,0.050478136060365664,54.87426637314285,59.77853017386485,NO
20,1552,889,663,57.28092783505154,194.95999999999998,0.12561855670103092,2.425014548893245,0.98,-1.02,1.28829148552332,1.9012028895688105,0.05727544276486807,54.8048423625372,59.72105796047769,NO
21,1461,825,636,56.46817248459959,159.77999999999997,0.10936344969199177,2.1063699054961305,0.98,-1.02,1.2463004069552357,1.2203240375532076,0.22234206097282483,53.91213319556917,58.990285741741175,NO
13,2005,1127,878,56.209476309226936,208.89999999999998,0.10418952618453864,2.005567718776964,0.98,-1.02,1.2332618696681414,1.1967909098812846,0.23138806221594344,54.027977182050556,58.367226103265715,NO
4,1540,862,678,55.97402597402598,153.19999999999996,0.09948051948051946,1.9136639319125734,0.98,-1.02,1.2215281392793111,0.8631884252687753,0.388033876584327,53.482820502053215,58.435500652137726,NO
16,1291,721,570,55.84817970565453,125.17999999999998,0.0969635941130906,1.864567274776794,0.98,-1.02,1.2153078775369803,0.6994617272533757,0.48426352333276124,53.12602688691953,58.53563118770521,NO
3,1564,870,694,55.626598465473144,144.71999999999997,0.09253196930946289,1.7785527217325854,0.98,-1.02,1.2044414307509754,0.5937732303028216,0.5526637959934229,53.15349544655332,58.07212836646451,NO
8,2055,1134,921,55.18248175182482,171.89999999999998,0.08364963503649633,1.6063873570591332,0.98,-1.02,1.1829852462157509,0.276039278589919,0.7825178978394018,53.02461763649051,57.32100584420854,NO
2,1537,847,690,55.10735198438517,126.25999999999998,0.0821470396877033,1.5771559732535854,0.98,-1.02,1.1793975561238996,0.17953602940092303,0.8575168295302673,52.61105551277533,57.57818133025903,NO
12,1961,1076,885,54.869964303926565,151.77999999999997,0.07739928607853135,1.485396693656702,0.98,-1.02,1.1681400243713314,-0.008460749706711453,0.9932493789760242,52.660068501648496,57.06081688677161,NO
18,1445,790,655,54.67128027681662,106.09999999999998,0.07342560553633216,1.4084690167520373,0.98,-1.02,1.1588085615925765,-0.1590394012414934,0.8736378311727251,52.09549051649739,57.222298260412394,NO
6,1887,1030,857,54.58399576046635,135.25999999999996,0.07167991520932696,1.3748701734886741,0.98,-1.02,1.1547349394833786,-0.25793842275315837,0.7964544308527908,52.33044219605697,56.818922827433106,NO
5,1713,935,778,54.582603619381196,122.73999999999997,0.07165207238762403,1.3742955817271907,0.98,-1.02,1.154670094258784,-0.24691652344133894,0.8049728283312574,52.21711965338012,56.92757954309787,NO
11,1952,1063,889,54.45696721311475,134.95999999999998,0.06913934426229507,1.3258448970428012,0.98,-1.02,1.1488343368843605,-0.3751277521170322,0.7075654583796696,52.241070617096995,56.65535535114091,NO
22,1481,803,678,54.22012153950033,95.37999999999997,0.06440243079000672,1.2343958799946397,0.98,-1.02,1.1379200647810754,-0.5099194807925034,0.6101078734021486,51.67502236799451,56.743384012861185,NO
10,1981,1073,908,54.164563351842496,125.37999999999997,0.06329126703685006,1.2130879092883544,0.98,-1.02,1.13537617690248,-0.6394411250553154,0.5225360026636867,51.96443310979074,56.34857282478861,NO
9,1982,1061,921,53.53178607467205,100.35999999999997,0.050635721493440956,0.9695718430951797,0.98,-1.02,1.1068318749866946,-1.205725305389933,0.22792342442949587,51.33129175040337,55.71861595623345,NO
14,1933,1030,903,53.28504914640455,88.33999999999996,0.04570098292809103,0.8747802673947667,0.98,-1.02,1.095911232710139,-1.4087285297063352,0.15891545548665853,51.056546432691505,55.500520495238995,NO
19,1545,821,724,53.139158576051784,66.09999999999997,0.04278317152103558,0.8187219622463091,0.98,-1.02,1.0895081789621932,-1.3746735957961187,0.16923266072254028,50.64613969602021,55.61660531289484,NO
17,1270,674,596,53.07086614173229,52.59999999999998,0.04141732283464565,0.792461282841346,0.98,-1.02,1.086524542702988,-1.2952502220073845,0.19523392490181402,50.3209764924547,55.802233803079694,NO
15,1608,826,782,51.3681592039801,11.839999999999971,0.007363184079601973,0.14068236316666208,0.98,-1.02,1.014843789178076,-2.8295700936848966,0.004661058874466217,48.9248264241661,53.80497034990898,YES (p<0.05)
7,2064,1054,1010,51.065891472868216,2.7199999999999633,0.0013178294573643232,0.025176718017820683,0.98,-1.02,1.0026402640264032,-3.481734781218203,0.0004981768448524271,48.90930004318294,53.218522513438415,YES (p<0.05)
