hour,day,quarter,year1_wr,year2_wr,year3_wr,overall_wr,consistency_score,trades_y1,trades_y2,trades_y3,total_trades
1,Saturday,Q4,75.0,78.94736842105263,76.92307692307693,77.27272727272727,1,12,19,13,44
2,Wednesday,Q2,63.1578947368421,77.27272727272727,88.88888888888889,76.27118644067797,1,19,22,18,59
0,Friday,Q2,85.71428571428571,70.58823529411765,70.58823529411765,75.0,1,14,17,17,48
2,Wednesday,Q1,62.5,76.92307692307693,80.0,73.46938775510205,1,16,13,20,49
23,Tuesday,Q4,68.42105263157895,81.25,68.18181818181817,71.9298245614035,1,19,16,22,57
20,Saturday,Q4,53.84615384615385,73.68421052631578,80.0,71.9298245614035,0,13,19,25,57
17,Sunday,Q2,75.0,72.22222222222221,69.23076923076923,71.7948717948718,1,8,18,13,39
4,Saturday,Q2,75.0,50.0,72.0,71.42857142857143,0,20,4,25,49
4,Saturday,Q3,72.72727272727273,72.72727272727273,69.23076923076923,71.42857142857143,1,11,11,13,35
8,Saturday,Q2,73.33333333333333,82.35294117647058,62.5,71.42857142857143,1,15,17,24,56
3,Tuesday,Q3,83.33333333333334,68.42105263157895,66.66666666666666,70.9090909090909,1,12,19,24,55
23,Saturday,Q4,84.61538461538461,73.68421052631578,60.0,70.17543859649122,1,13,19,25,57
8,Saturday,Q1,73.68421052631578,66.66666666666666,68.18181818181817,69.64285714285714,1,19,15,22,56
23,Wednesday,Q4,54.54545454545454,73.91304347826086,72.0,69.49152542372882,0,11,23,25,59
16,Tuesday,Q4,84.61538461538461,50.0,71.42857142857143,69.23076923076923,0,13,12,14,39
13,Friday,Q4,57.89473684210527,67.85714285714286,79.16666666666666,69.01408450704226,1,19,28,24,71
21,Thursday,Q3,66.66666666666666,58.82352941176471,78.94736842105263,68.88888888888889,1,9,17,19,45
9,Saturday,Q3,92.85714285714286,56.25,61.904761904761905,68.62745098039215,1,14,16,21,51
20,Sunday,Q2,57.14285714285714,70.0,70.37037037037037,68.51851851851852,1,7,20,27,54
0,Wednesday,Q4,80.95238095238095,64.28571428571429,57.89473684210527,68.51851851851852,1,21,14,19,54
18,Sunday,Q4,40.0,26.666666666666668,57.14285714285714,41.02564102564102,0,10,15,14,39
6,Wednesday,Q3,52.38095238095239,38.46153846153847,34.48275862068966,40.78947368421053,-1,21,26,29,76
19,Wednesday,Q3,40.0,30.434782608695656,52.63157894736842,40.38461538461539,-1,10,23,19,52
7,Wednesday,Q3,50.0,35.714285714285715,37.03703703703704,40.25974025974026,-1,22,28,27,77
15,Wednesday,Q2,31.25,31.57894736842105,52.0,40.0,-1,16,19,25,60
1,Thursday,Q3,60.0,28.57142857142857,34.48275862068966,40.0,0,20,21,29,70
17,Sunday,Q4,44.44444444444444,30.76923076923077,46.15384615384615,40.0,-1,9,13,13,35
2,Sunday,Q3,60.0,40.0,25.0,40.0,0,15,20,20,55
11,Friday,Q1,56.25,31.818181818181817,36.0,39.682539682539684,0,16,22,25,63
14,Friday,Q1,30.0,47.82608695652174,39.130434782608695,39.39393939393939,-1,20,23,23,66
21,Sunday,Q3,37.5,45.45454545454545,35.714285714285715,39.39393939393939,-1,16,22,28,66
10,Friday,Q3,60.0,15.0,48.38709677419355,39.34426229508197,0,10,20,31,61
22,Wednesday,Q4,25.0,40.0,44.44444444444444,38.88888888888889,-1,12,15,27,54
14,Monday,Q3,50.0,34.78260869565217,33.33333333333333,38.333333333333336,-1,16,23,21,60
17,Tuesday,Q4,30.76923076923077,35.714285714285715,46.666666666666664,38.095238095238095,-1,13,14,15,42
7,Thursday,Q1,38.88888888888889,42.857142857142854,33.33333333333333,37.68115942028986,-1,18,21,30,69
18,Wednesday,Q3,35.714285714285715,40.909090909090914,33.33333333333333,37.03703703703704,-1,14,22,18,54
17,Thursday,Q2,23.52941176470588,52.94117647058824,27.77777777777778,34.61538461538461,-1,17,17,18,52
17,Monday,Q3,46.666666666666664,36.36363636363637,22.22222222222222,34.090909090909086,-1,15,11,18,44
15,Monday,Q2,35.294117647058826,23.076923076923077,37.5,32.608695652173914,-1,17,13,16,46
