day_name,day,quarter,trades,win_rate,pnl,avg_pnl,sharpe
Saturday,5,Q4,1317,61.123766135155655,266.65999999999997,0.2024753227031131,3.966216782181775
Saturday,5,Q1,1324,59.818731117824775,233.51999999999998,0.17637462235649545,3.4352475705177823
Saturday,5,Q2,1291,58.17195972114639,185.17999999999998,0.14343919442292793,2.7766772494905436
Monday,0,Q4,1325,57.9622641509434,184.49999999999997,0.1392452830188679,2.693646824193129
Friday,4,Q4,1556,57.26221079691517,194.87999999999997,0.12524421593830332,2.417655591152716
Sunday,6,Q4,1288,57.14285714285714,158.23999999999998,0.12285714285714285,2.370585407592278
Saturday,5,Q3,1318,57.056145675265554,159.64,0.12112291350531107,2.3365560428334935
Thursday,3,Q4,1598,56.63329161451814,180.03999999999996,0.11266583229036294,2.1709939065746187
Sunday,6,Q2,1309,55.996944232238356,130.81999999999996,0.09993888464476697,1.922478099252854
Sunday,6,Q1,1291,55.693261037955075,121.17999999999998,0.09386522075910146,1.8043328629536666
Tuesday,1,Q4,1518,55.40184453227931,133.64,0.08803689064558629,1.691287643366517
Wednesday,2,Q1,1563,55.150351887396035,129.73999999999998,0.08300703774792065,1.5938179513488269
Wednesday,2,Q4,1549,55.003227888960616,124.01999999999997,0.08006455777921237,1.5368509376994954
Tuesday,1,Q1,1494,54.68540829986613,110.11999999999998,0.0737081659973226,1.4139429336222944
Friday,4,Q2,1504,54.58776595744681,107.91999999999997,0.07175531914893615,1.3762331509304198
Tuesday,1,Q2,1527,54.55140798952194,108.45999999999998,0.07102815979043875,1.362202111132651
Monday,0,Q2,1287,54.46775446775447,89.25999999999998,0.06935508935508934,1.3298317968836888
Friday,4,Q1,1512,54.1005291005291,93.75999999999998,0.062010582010581995,1.1883215820506934
Wednesday,2,Q2,1533,53.946510110893676,90.33999999999997,0.058930202217873436,1.1290150279323952
Monday,0,Q1,1273,53.88845247446976,73.53999999999998,0.05776904948939511,1.1065939906437112
Thursday,3,Q2,1569,53.664754620777565,83.61999999999998,0.05329509241555129,1.0206219540695272
Thursday,3,Q1,1566,52.61813537675607,50.67999999999997,0.03236270753512131,0.6189403217785048
Thursday,3,Q3,1574,52.35069885641678,42.519999999999975,0.027013977128335434,0.5165084752911981
Friday,4,Q3,1520,52.17105263157895,35.59999999999997,0.02342105263157893,0.4477336426140793
Tuesday,1,Q3,1529,51.66775670372793,20.419999999999973,0.013355134074558517,0.25520803514274204
Wednesday,2,Q3,1538,51.49544863459038,15.239999999999974,0.009908972691807525,0.1893338059376235
Monday,0,Q3,1333,51.387846961740436,10.339999999999977,0.007756939234808685,0.14819761838367748
Sunday,6,Q3,1275,50.66666666666667,-8.500000000000023,-0.0066666666666666844,-0.12732784892458524
