hour,trades,win_rate,pnl,avg_pnl,sharpe
23,1483,59.06945380984491,239.33999999999997,0.16138907619689816,3.1342876464042146
0,1412,58.42776203966006,209.75999999999996,0.1485552407932011,2.878321120978279
1,1559,57.3444515715202,197.81999999999996,0.1268890314304041,2.4500092334748267
20,1552,57.28092783505154,194.95999999999998,0.12561855670103092,2.425014548893245
21,1461,56.46817248459959,159.77999999999997,0.10936344969199177,2.1063699054961305
13,2005,56.209476309226936,208.89999999999998,0.10418952618453864,2.005567718776964
4,1540,55.97402597402598,153.19999999999996,0.09948051948051946,1.9136639319125734
16,1291,55.84817970565453,125.17999999999998,0.0969635941130906,1.864567274776794
3,1564,55.626598465473144,144.71999999999997,0.09253196930946289,1.7785527217325854
8,2055,55.18248175182482,171.89999999999998,0.08364963503649633,1.6063873570591332
2,1537,55.10735198438517,126.25999999999998,0.0821470396877033,1.5771559732535854
12,1961,54.869964303926565,151.77999999999997,0.07739928607853135,1.485396693656702
18,1445,54.67128027681662,106.09999999999998,0.07342560553633216,1.4084690167520373
6,1887,54.58399576046635,135.25999999999996,0.07167991520932696,1.3748701734886741
5,1713,54.582603619381196,122.73999999999997,0.07165207238762403,1.3742955817271907
11,1952,54.45696721311475,134.95999999999998,0.06913934426229507,1.3258448970428012
22,1481,54.22012153950033,95.37999999999997,0.06440243079000672,1.2343958799946397
10,1981,54.164563351842496,125.37999999999997,0.06329126703685006,1.2130879092883544
9,1982,53.53178607467205,100.35999999999997,0.050635721493440956,0.9695718430951797
14,1933,53.28504914640455,88.33999999999996,0.04570098292809103,0.8747802673947667
19,1545,53.139158576051784,66.09999999999997,0.04278317152103558,0.8187219622463091
17,1270,53.07086614173229,52.59999999999998,0.04141732283464565,0.792461282841346
15,1608,51.3681592039801,11.839999999999971,0.007363184079601973,0.14068236316666208
7,2064,51.065891472868216,2.7199999999999633,0.0013178294573643232,0.025176718017820683
